Date,Close,Search_Interest,Return_1d,Close_lag_1,Close_lag_3,Close_lag_5,MA_5,MA_10,Trend_lag_1,Trend_lag_3
2025-05-28,356.8999938964844,20.0,-0.016506435862546853,362.8900146484375,341.0400085449219,343.82000732421875,346.9580017089844,346.1180023193359,20.0,22.0
2025-05-29,358.42999267578125,20.0,0.004286911755287504,356.8999938964844,339.3399963378906,334.6199951171875,351.7200012207031,347.19300231933596,20.0,22.0
2025-05-30,346.4599914550781,20.0,-0.03339564619395741,358.42999267578125,362.8900146484375,341.0400085449219,352.8039978027344,347.5570007324219,20.0,20.0
2025-06-02,342.69000244140625,46.0,-0.01088145559849063,346.4599914550781,356.8999938964844,339.3399963378906,353.4739990234375,346.8279998779297,20.0,20.0
2025-06-03,344.2699890136719,46.0,0.004610541775392996,342.69000244140625,358.42999267578125,362.8900146484375,349.7499938964844,347.04599914550784,46.0,20.0
2025-06-04,332.04998779296875,46.0,-0.03549540073392177,344.2699890136719,346.4599914550781,356.8999938964844,344.7799926757813,345.86899719238284,46.0,20.0
2025-06-05,284.70001220703125,46.0,-0.14259893789082123,332.04998779296875,342.69000244140625,358.42999267578125,330.03399658203125,340.8769989013672,46.0,46.0
2025-06-06,295.1400146484375,46.0,0.036670186138995975,284.70001220703125,344.2699890136719,346.4599914550781,319.77000122070314,336.28699951171876,46.0,46.0
2025-06-09,308.5799865722656,29.0,0.04553761352840424,295.1400146484375,332.04998779296875,342.69000244140625,312.947998046875,333.21099853515625,46.0,46.0
2025-06-10,326.0899963378906,29.0,0.05674382827003055,308.5799865722656,284.70001220703125,344.2699890136719,309.31199951171874,329.53099670410154,29.0,46.0
2025-06-11,326.42999267578125,29.0,0.0010426457165473302,326.0899963378906,295.1400146484375,332.04998779296875,308.18800048828126,326.48399658203124,29.0,46.0
2025-06-12,319.1099853515625,29.0,-0.022424432461661592,326.42999267578125,308.5799865722656,284.70001220703125,315.0699951171875,322.5519958496094,29.0,29.0
2025-06-13,325.3099975585937,29.0,0.019429076154419578,319.1099853515625,326.0899963378906,295.1400146484375,321.10399169921874,320.43699645996094,29.0,29.0
2025-06-16,329.1300048828125,18.0,0.011742668079331775,325.3099975585937,326.42999267578125,308.5799865722656,325.2139953613281,319.08099670410155,29.0,29.0
2025-06-17,316.3500061035156,18.0,-0.03882963749794621,329.1300048828125,319.1099853515625,326.0899963378906,323.2659973144531,316.28899841308595,18.0,29.0
